"","police_beat","injured","killed","Neighborhood"
"1","003",0,0,NA
"2","020",1,0,NA
"3","021",6,0,NA
"4","055",0,0,NA
"5","0P2",0,0,NA
"6","0SD",0,0,NA
"7","111",240,1,"Clairemont Mesa East"
"8","112",85,0,"Clairemont Mesa West"
"9","113",113,6,"Bay Ho"
"10","114",175,0,"North Clairemont"
"11","115",349,1,"University City"
"12","116",109,1,"Bay Park"
"13","121",108,4,"Mission Beach"
"14","122",1241,2,"Pacific Beach"
"15","123",238,8,"Mission Bay Park"
"16","124",410,4,"La Jolla"
"17","126",95,0,"Torrey Pines"
"18","175",1,0,NA
"19","221",0,0,NA
"20","231",73,1,"Sabre Springs"
"21","232",127,1,"Carmel Mountain"
"22","233",170,2,"Rancho Penasquitos"
"23","234",311,3,"Rancho Bernardo"
"24","235",117,2,"San Pasqual"
"25","241",143,2,"Scripps Ranch"
"26","242",501,9,"Mira Mesa"
"27","243",258,1,"Miramar"
"28","245",4,0,"Rancho Encantada"
"29","246",112,1,"Miramar Ranch North"
"30","253",0,0,NA
"31","311",156,4,"Serra Mesa"
"32","312",117,4,"Tierrasanta"
"33","313",521,4,"Kearny Mesa"
"34","314",55,2,"Birdland"
"35","315",315,0,"Mission Valley East"
"36","316",12,0,"Qualcomm"
"37","321",170,0,"Grantville"
"38","322",52,0,"Allied Gardens"
"39","323",48,0,"Del Cerro"
"40","324",103,3,"Lake Murray"
"41","325",72,2,"San Carlos"
"42","326",121,1,"College West"
"43","327",92,2,"College East"
"44","404",1,0,NA
"45","406",0,0,NA
"46","419",0,0,NA
"47","431",38,0,"Emerald Hills"
"48","432",114,0,"Valencia Park"
"49","433",100,1,"Encanto"
"50","434",52,1,"Jamacha/Lomita"
"51","435",3,0,"Broadway Heights"
"52","436",63,0,"Skyline"
"53","437",150,1,"Bay Terraces"
"54","438",67,1,"Paradise Hills"
"55","439",10,0,"Alta Vista"
"56","441",197,1,"Mountain View"
"57","442",53,0,"Southcrest"
"58","443",49,0,"Shelltown"
"59","444",74,0,"Mt. Hope"
"60","445",110,0,"Chollas View"
"61","446",203,3,"Lincoln Park"
"62","447",85,0,"Ridgeview/Webster"
"63","451",204,0,"Oak Park"
"64","452",42,0,"O'Farrell"
"65","500",0,0,NA
"66","501",0,0,NA
"67","502",0,0,NA
"68","503",0,0,NA
"69","505",0,0,NA
"70","509",1,0,NA
"71","511",179,1,"Barrio Logan"
"72","512",154,2,"Logan Heights"
"73","514",54,0,"Sherman Heights"
"74","515",49,0,"Grant Hill"
"75","516",49,0,"Stockton"
"76","517",69,0,"Golden Hill"
"77","518",21,0,"South Park"
"78","521",336,0,"East Village"
"79","522",57,0,"Marina"
"80","523",43,0,"Gaslamp"
"81","524",279,1,"Core-Columbia"
"82","525",26,0,"Horton Plaza"
"83","526",98,0,"Cortez"
"84","527",46,1,"Harborview"
"85","528",52,0,"Little Italy"
"86","529",151,4,"Park West"
"87","531",59,0,"Balboa Park"
"88","541",11,0,"Petco Park"
"89","601",0,0,NA
"90","611",335,1,"Midway District"
"91","612",42,0,"Loma Portal"
"92","613",171,88,"Point Loma Heights"
"93","614",200,1,"Ocean Beach"
"94","615",99,2,"Roseville/Fleet Ridge"
"95","616",12,1,"La Playa"
"96","617",9,1,"Wooded Area"
"97","618",27,0,"Sunset Cliffs"
"98","621",167,2,"Linda Vista"
"99","622",103,3,"Morena"
"100","623",74,1,"Mission Valley West"
"101","624",136,0,"University Heights"
"102","625",63,0,"Old Town"
"103","626",45,2,"Mission Hills"
"104","627",248,2,"Hillcrest"
"105","628",62,1,"Midtown"
"106","711",15,0,"Tijuana River Valley"
"107","712",196,1,"San Ysidro"
"108","713",95,0,"Otay Mesa"
"109","714",13,0,"Border"
"110","721",126,2,"Egger Highlands"
"111","722",72,0,"Nestor"
"112","723",172,2,"Otay Mesa West"
"113","724",60,5,"Palm City"
"114","725",79,0,"Ocean Crest"
"115","727",1,0,NA
"116","811",85,0,"Normal Heights"
"117","812",1,0,"Burlingame"
"118","813",345,1,"North Park"
"119","814",46,0,"Adams North"
"120","821",116,0,"Rolando"
"121","822",195,0,"El Cerrito"
"122","823",31,1,"Redwood Village"
"123","824",151,4,"Talmadge"
"124","825",105,1,"Kensington"
"125","826",121,1,"Colina del Sol"
"126","827",29,1,"Chollas Creek"
"127","828",23,0,"Fox Canyon"
"128","831",130,1,"Teralta East"
"129","832",135,0,"Teralta West"
"130","833",45,0,"Fairmount Village"
"131","834",71,0,"Castle"
"132","835",85,0,"Azalea/Hollywood Park"
"133","836",36,0,"Swan Canyon"
"134","837",32,0,"Fairmount Park"
"135","838",86,6,"Corridor"
"136","839",20,0,"Cherokee Point"
"137","841",24,0,"Rolando Park"
"138","872",0,0,NA
"139","901",1,0,NA
"140","908",0,0,NA
"141","931",306,3,"Sorrento Valley"
"142","932",31,0,"Torrey Preserve"
"143","933",53,0,"Del Mar Heights"
"144","934",257,2,"Carmel Valley"
"145","935",71,2,"North City"
"146","936",43,2,"Torrey Highlands"
"147","937",65,1,"Black Mountain Ranch"
"148","999",17,0,NA
